date,market,riskfree,return,vol
2015-02-25,0.001741003,0.0007,-0.007965303,-0.203239329
2015-02-26,-0.001372087,0.0007,-0.00357323,0.368704448
2015-02-27,-0.000923615,0.0007,0.087415095,2.637594391
2015-03-02,0.001826017,0.0008,0.049226065,0.371516823
2015-03-03,-0.004232602,0.0008,0.030342768,0.347945661
2015-03-04,-0.004901585,0.0008,-0.034893587,-0.145077056
2015-03-05,0.001285307,0.0008,0.015055497,-0.061352918
2015-03-06,-0.011160903,0.0008,-0.011187297,-0.390931459
2015-03-09,-0.001399199,0.001,0.059442724,3.022988823
2015-03-10,-0.016089986,0.001,0.013373672,0.134579143
2015-03-11,-0.000553806,0.001,0.006310218,-0.608076581
2015-03-12,0.010211513,0.001,-0.002730767,-0.001771354
2015-03-13,-0.005344074,0.0011,-0.026706332,0.572004724
2015-03-16,0.00981597,0.0015,0.014175258,0.615246435
2015-03-17,-0.000694325,0.0015,-0.02427968,0.016406757
2015-03-18,0.009602398,0.0012,-0.099007462,2.846076445
2015-03-19,-0.000402094,0.0012,0.023204031,-0.033496935
2015-03-20,0.012199178,0.0011,0.00225251,-0.795292825
2015-03-23,0.002567865,0.0011,-0.005241636,0.366690913
2015-03-24,-0.002180144,0.0011,-0.06924773,1.714574714
2015-03-25,-0.008265978,0.0011,-0.011282422,-0.120931438
2015-03-26,-0.007387379,0.0013,0.011898477,-0.421300997
2015-03-27,-0.000457872,0.0012,-0.004414479,-0.29268582
2015-03-30,0.007585522,0.0014,0.019176955,0.047734221
2015-03-31,-0.007143132,0.0014,-0.003795526,-0.370018385
2015-04-01,-0.000519993,0.0012,-0.001621271,0.151472716
2015-04-02,0.006887662,0.001,0.024033777,0.188383117
2015-04-03,0.002483265,0.001,0.00539169,0.022442508
2015-04-06,0.00668513,0.001,-0.005585942,0.148515357
2015-04-07,-0.000458509,0.001,-0.003471816,-0.546137641
2015-04-08,0.002981674,0.001,-0.036444062,2.640643016
2015-04-09,0.002789868,0.001,-0.013040829,-0.420522894
2015-04-10,0.004264376,0.0009,-0.035934799,0.5955754
2015-04-13,-0.002740016,0.0011,-0.057457627,2.479322221
2015-04-14,0.003734232,0.001,-0.019331056,0.264274363
2015-04-15,0.001761868,0.0008,0.015173742,-0.513131891
2015-04-16,0.002989153,0.0008,0.038609167,0.281336511
2015-04-17,-0.009655691,0.0008,-0.032652174,-0.06649303
2015-04-20,0.003845219,0.001,0.003366248,0.080844194
2015-04-21,0.002278611,0.0009,0.044464326,0.575763036
2015-04-22,0.002802136,0.001,-0.000856568,-0.212733111
2015-04-23,0.003442043,0.0009,0.005186678,-0.646840139
2015-04-24,0.004008197,0.001,-0.016204691,1.781173123
2015-04-27,0.000874694,0.001,0.050159453,-0.254329329
2015-04-28,0.001434142,0.0009,-0.0239469,-0.306184043
2015-04-29,-0.004370851,0.0007,0.004933553,-0.392723186
2015-04-30,-0.010210962,0.0006,0.043830164,2.164793195
2015-05-01,0.003776841,0.0005,-0.00779628,-0.604944406
2015-05-04,0.002164078,0.0008,-0.004997293,0.34423538
2015-05-05,-0.008517234,0.0008,-0.014104549,0.040680048
2015-05-06,-0.000948587,0.0008,-0.02050433,-0.199366949
2015-05-07,-0.00329662,0.0008,0.032722229,1.671145381
2015-05-08,0.013847397,0.0008,0.030216552,-0.428864101
2015-05-11,-0.001811581,0.0009,0.009631752,0.232653875
2015-05-12,-0.003192963,0.0009,-0.004482092,-0.155123838
2015-05-13,0.003528043,0.0009,-0.027385378,0.010533468
2015-05-14,0.006843076,0.0008,0.004798913,1.478284503
2015-05-15,0.00269171,0.0009,0.001775148,-0.727217746
2015-05-18,0.000768061,0.0008,-0.016062044,1.766837804
2015-05-19,-0.002540851,0.0007,0.001076797,-0.424591195
2015-05-20,-0.000321217,0.0008,0.005636348,0.564479448
2015-05-21,0.002585505,0.0007,0.006332093,-0.065945109
2015-05-26,-0.010736426,0.0009,0.002993886,-0.020610404
2015-05-27,0.005290244,0.0009,-0.006894812,0.005245591
2015-05-28,-0.001912233,0.0008,0.002455338,-0.289805969
2015-05-29,-0.006124835,0.0006,-0.000844595,0.106250761
2015-06-01,-0.000485721,0.0007,-0.039102005,3.770594902
2015-06-02,0.00195142,0.0007,0.019734156,-0.481280179
2015-06-03,0.003304132,0.0007,0.003648011,-0.063010651
2015-06-04,-0.007923439,0.0008,-0.007136525,-0.366060595
2015-06-05,-0.007765926,0.0008,0.005491317,0.695641826
2015-06-08,-0.004626965,0.0009,0.023150636,0.589824096
2015-06-09,-0.001256553,0.0008,0.00625848,-0.426421744
2015-06-10,0.01355388,0.001,-0.004653793,-0.334518863
2015-06-11,0.001165155,0.001,0.002752895,-0.122881737
2015-06-12,-0.004115132,0.001,0.000522921,-0.051140274
2015-06-15,-0.00745465,0.0011,0.016002403,1.193424416
2015-06-16,0.002762622,0.0011,0.047588886,1.464558882
